name,energy_consumption_btu,world_share,pc_yearly_btu,non_renewable,oil_consump,gas_consump,coal_consump,re_nuclear,co2_emissions_tons_2016,co2_emiss_one_year_change,population_2016,co2_emiss_per_capita,country_share_of_world_co2,coal_reserves,coal_production,coal_consumption,coal_imports,coal_exports,coal_net_imports,coal_year,coal_units,coal_net_exports,coal_yearly_deficit/surplus,gas_reserves,gas_production,gas_consumption,gas_imports,gas_exports,gas_net_imports,gas_year,gas_units,gas_net_exports,gas_yearly_deficit/surplus,oil_reserves,oil_production,oil_consumption,oil_imports,oil_exports,oil_net_imports,oil_year,oil_units,oil_net_exports,oil_daily_deficit/surplus
Singapore,3.63038E+12,0.0062338,636011,1,0.86,0.13,0,0,48381759,2.56%,5653634,8.56,0.14%,0,0,761679,761747,68,761679,2016,Tons ,,-761679,0,0,428018,436847,8829,428018,2015,Million Cubic Ft,,-428018,0,42274,1357000,1056958,27033,1029925,2016,Barrels,,-1314726
Poland,4.33447E+12,0.0074429,114206,0.99,0.3,0.16,0.53,0.01,296659670,2.67%,37989220,7.81,0.83%,28451723410,143996029,148799901,9668082,10339933,,2016,Tons ,671851,-4803873,3015000,217117,642804,428053,1978,426075,2015,Million Cubic Ft,,-425687,137752000,53367,582161,494777,4490,490287,2016,Barrels,,-528794
Argentina,3.86752E+12,0.006641,88024,0.87,0.4,0.47,0.01,0.13,200708270,0.16%,43508460,4.61,0.56%,551155000,29318,1403477,1729270,1235,1728035,2016,Tons ,,-1374159,11142000,1518545,1659452,376811,2825,373986,2015,Million Cubic Ft,,-140907,2379702000,708770,709000,16180,53930,,2016,Barrels,37750,-230
Netherlands,3.93813E+12,0.0067623,231364,0.95,0.5,0.35,0.1,0.05,163419285,1.63%,16981295,9.62,0.46%,547848070,0,18203547,54558833,38116777,16442056,2016,Tons ,,-18203547,31702000,1909129,1408574,1338015,1799688,,2015,Million Cubic Ft,461673,500555,140892000,70128,937098,1090438,6585,1083853,2016,Barrels,,-866970
Kazakhstan,3.57485E+12,0.0061385,197724,0.97,0.18,0.16,0.64,0.03,231919540,1.64%,17830901,13.01,0.65%,28224647550,113619501,86633850,391,4273196,,2016,Tons ,4272805,26985651,85000000,1515014,480637,165981,434021,,2015,Million Cubic Ft,268041,1034376,30000000000,1698280,325000,469,1245575,,2016,Barrels,1245106,1373280
Malaysia,3.5152E+12,0.006036,113012,0.93,0.41,0.32,0.2,0.07,266251542,6.54%,30684654,8.68,0.74%,198415800,2661820,33022853,26670879,415500,26255379,2016,Tons ,,-30361033,38284000,2762798,1119839,115480,1235672,,2015,Million Cubic Ft,1120192,1642960,3600000000,762168,708000,197489,390000,,2016,Barrels,192511,54168
United Arab Emirates,4.667E+12,0.0080138,491926,1,0.39,0.59,0.02,0,218788684,4.43%,9360980,23.37,0.61%,0,0,2454173,2726156,13779,2712376,2016,Tons ,,-2454173,215098000,3178738,2621819,769972,273903,496069,2015,Million Cubic Ft,,556920,97800000000,3772788,896000,0,2487580,,2016,Barrels,2487580,2876788
Ukraine,3.63219E+12,0.0062369,81645,0.73,0.13,0.3,0.29,0.27,233220080,8.03%,44713702,5.22,0.65%,37891906250,39260975,59357189,17248947,2251110,14997837,2016,Tons ,,-20096214,39000000,670985,1171928,500943,0,500943,2015,Million Cubic Ft,,-500943,395000000,55832,244000,12548,0,12548,2016,Barrels,,-188168
Egypt,4.01236E+12,0.0068897,41604,0.96,0.41,0.53,0.02,0.04,219377350,4.72%,94447073,2.32,0.61%,17636960,0,769412,3337265,95121,3242144,2016,Tons ,,-769412,77200000,1742018,1692930,127487,0,127487,2015,Million Cubic Ft,,49088,4400000000,682904,877000,70411,240295,,2016,Barrels,169884,-194096
Thailand,5.51901E+12,0.0094769,79743,0.93,0.48,0.33,0.12,0.07,271040160,1.55%,68971308,3.93,0.76%,1171755530,18715682,42674986,23999601,39472,23960129,2016,Tons ,,-23959304,8415000,1535072,1876886,470714,0,470714,2015,Million Cubic Ft,,-341814,404890000,531329,1302000,875446,33237,842209,2016,Barrels,,-770671
China,1.38689E+14,0.238,97598,0.88,0.18,0.06,0.63,0.12,10432751400,-0.28%,1414049351,7.38,29.18%,1.49818E+11,3708155408,4319921826,281754534,9532676,272221858,2016,Tons ,,-611766418,163959000,4559626,6738152,2202597,116331,2086265,2015,Million Cubic Ft,,-2178526,25132122000,4905071,12791553,7620760,58812,7561948,2016,Barrels,,-7886482
Turkey,6.4325E+12,0.0110454,79300,0.87,0.31,0.3,0.26,0.13,368122740,5.25%,79827871,4.61,1.03%,12514525430,80473039,116877929,39921046,68635,39852411,2016,Tons ,,-36404890,218000,13455,1697310,1710200,22037,1688163,2015,Million Cubic Ft,,-1683855,312000000,66308,941861,502570,0,502570,2016,Barrels,,-875552
Taiwan,4.67285E+12,0.0080239,197379,0.93,0.44,0.19,0.3,0.07,276724868,1.91%,23618200,11.72,0.77%,1102310,0,72649581,72343027,1330,72341696,2016,Tons ,,-72649581,220000,12572,696624,684758,0,684758,2015,Million Cubic Ft,,-684052,2380000,29504,981203,811120,0,811120,2016,Barrels,,-951699
Australia,6.12758E+12,0.0105218,249244,0.94,0.39,0.27,0.29,0.06,414988700,-0.98%,24262712,17.1,1.16%,1.59634E+11,554763963,129642679,46491,427090732,,2016,Tons ,427044241,425121284,30400000,2384328,1406950,225062,1202970,,2015,Million Cubic Ft,977908,977378,1193000000,373728,1114645,302855,215925,86930,2016,Barrels,,-740916
Falkland Islands,82900000,0.0000001,27021,0,0,0,0,1,48568,1.51%,2928,16.59,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,290,0,0,,2016,Barrels,0,-290
Spain,5.72641E+12,0.009833,122759,0.76,0.47,0.21,0.08,0.24,251892320,-3.12%,46634140,5.4,0.70%,1308441970,2187157,21948094,15244055,499347,14744708,2016,Tons ,,-19760937,90000,2190,995989,1143888,178870,965018,2015,Million Cubic Ft,,-993799,150000000,71783,1290063,1292187,0,1292187,2016,Barrels,,-1218280
Kiribati,46100000,0.0000001,404,0,0,0,0,1,52818,7.18%,112524,0.47,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,400,0,0,,2016,Barrels,0,-400
Tonga,1807000000,0.0000031,17716,1,1,0,0,0,251375,7.19%,101133,2.49,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,899,0,0,,2016,Barrels,0,-899
South Africa,5.67296E+12,0.0097412,99509,0.96,0.22,0.03,0.7,0.04,390557850,-0.49%,56207646,6.95,1.09%,35053458000,277951564,202298474,2037037,85235315,,2016,Tons ,83198279,75653090,0,41319,173044,134197,0,134197,2015,Million Cubic Ft,,-131725,15000000,136517,640000,416531,9018,407513,2016,Barrels,,-503483
Saint Pierre & Miquelon,1982000000,0.0000034,336674,0.5,0.5,0,0,0.5,8842,1.51%,5934,1.49,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,660,0,0,,2016,Barrels,0,-660
St. Vincent & Grenadines,2596000000,0.0000045,23637,1,1,0,0,0,362414,1.51%,109459,3.31,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,1619,0,0,,2016,Barrels,0,-1619
Sao Tome & Principe,2366491000,0.0000041,11427,0.91,0.91,0,0,0.09,56185,2.60%,203227,0.28,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,1000,0,0,,2016,Barrels,0,-1000
Cook Islands,1677278000,0.0000029,95806,0.48,0.48,0,0,0.52,37354,7.19%,17524,2.13,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,600,0,0,,2016,Barrels,0,-600
British Virgin Islands,3397977000,0.0000058,114886,0.94,0.94,0,0,0.06,99762,1.51%,29355,3.4,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,1240,0,0,,2016,Barrels,0,-1240
Western Sahara,3022000000,0.0000052,5469,1,1,0,0,0,207592,2.61%,538749,0.39,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,1701,0,0,,2016,Barrels,0,-1701
Comoros,3848000000,0.0000066,4728,1,1,0,0,0,108422,2.58%,795592,0.14,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,1300,0,0,,2016,Barrels,0,-1300
Saint Kitts & Nevis,3317704000,0.0000057,63747,0.94,0.94,0,0,0.06,203036,1.51%,51625,3.93,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,1700,0,0,,2016,Barrels,0,-1700
Turks and Caicos,4606000000,0.0000079,124101,0.93,0.93,0,0,0.07,65451,1.52%,36559,1.79,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,1420,0,0,,2016,Barrels,0,-1420
Vanuatu,3059838000,0.0000053,10717,0.81,0.81,0,0,0.19,137706,7.18%,278330,0.49,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,1100,0,0,,2016,Barrels,0,-1100
Dominica,3949649000,0.0000068,55272,0.85,0.85,0,0,0.15,185767,1.51%,71307,2.61,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,1301,0,0,,2016,Barrels,0,-1301
Chad,4879681000,0.0000084,325,0.9,0.9,0,0,0.1,1670941,2.14%,14561660,0.11,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,353,353,0,0,,2015,Million Cubic Ft,,0,1500000000,114000,2299,0,97079,,2016,Barrels,97079,111701
Grenada,4338852000,0.0000075,39133,0.96,0.96,0,0,0.04,554848,1.51%,110261,5.03,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,2000,0,0,,2016,Barrels,0,-2000
Burundi,5374860000,0.0000092,496,0.57,0.57,0,0,0.43,1093618,2.81%,10487995,0.1,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,1499,0,0,,2016,Barrels,0,-1499
Guinea-Bissau,4395213000,0.0000075,2404,0.95,0.95,0,0,0.05,318706,2.59%,1782438,0.18,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,2700,0,0,,2016,Barrels,0,-2700
Solomon Islands,4770491000,0.0000082,7500,0.91,0.91,0,0,0.09,341748,7.18%,619438,0.55,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,1600,0,0,,2016,Barrels,0,-1600
Central African Republic,7065635000,0.0000121,1537,0.76,0.76,0,0,0.24,543229,2.57%,4537686,0.12,0.00%,3306930,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,2800,0,0,,2016,Barrels,0,-2800
Saint Lucia,6991213000,0.000012,38635,0.93,0.93,0,0,0.07,608182,1.51%,180024,3.38,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,3099,0,0,,2016,Barrels,0,-3099
Gambia,7564000000,0.000013,3417,1,1,0,0,0,254127,2.59%,2149136,0.12,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,3800,0,0,,2016,Barrels,0,-3800
Eritrea,10870852000,0.0000187,3185,0.96,0.96,0,0,0.04,684140,4.79%,3376557,0.2,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,3000,0,0,,2016,Barrels,0,-3000
Samoa,5672659000,0.0000097,29038,0.91,0.91,0,0,0.09,169939,7.18%,194535,0.87,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,2400,0,0,,2016,Barrels,0,-2400
Bermuda,11252000000,0.0000193,178464,0.99,0.99,0,0,0.01,639352,1.51%,63362,10.09,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,5000,0,0,,2016,Barrels,0,-5000
Cayman Islands,9514000000,0.0000163,150106,1,1,0,0,0,406057,1.52%,62569,6.49,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,4401,0,0,,2016,Barrels,0,-4401
Timor-Leste,8615000000,0.0000148,6929,1,1,0,0,0,495687,4.63%,1219288,0.41,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,347853,347853,271926,271926,,2015,Million Cubic Ft,,0,0,49238,3501,0,2101,,2016,Barrels,2101,45737
Djibouti,12152607000,0.0000209,12872,0.99,0.99,0,0,0.01,1508851,2.97%,929112,1.62,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,6360,0,0,,2016,Barrels,0,-6360
Somalia,12100621000,0.0000208,829,0.95,0.95,0,0,0.05,1268442,2.57%,14185636,0.09,0.00%,0,0,0,0,0,,2016,Tons ,,0,200000,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,5600,0,0,,2016,Barrels,0,-5600
Faeroe Islands,11506210000,0.0000198,238071,0.82,0.82,0,0,0.18,1953,0.60%,48173,0.04,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,4600,0,0,,2016,Barrels,0,-4600
French Polynesia,15199494000,0.0000261,55050,0.9,0.9,0,0,0.1,1003249,7.18%,274575,3.65,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,6599,0,0,,2016,Barrels,0,-6599
Lesotho,15324212000,0.0000263,7327,0.61,0.61,0,0,0.39,318438,2.58%,2075030,0.15,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,5001,0,0,,2016,Barrels,0,-5001
Belize,12727469000,0.0000219,33870,0.64,0.64,0,0,0.36,1114105,1.51%,368400,3.02,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,6700000,2000,4001,0,2030,,2016,Barrels,2030,-2001
Cabo Verde,12660679000,0.0000217,23555,0.94,0.94,0,0,0.06,99687,2.59%,531146,0.19,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,5600,0,0,,2016,Barrels,0,-5600
Seychelles,15644000000,0.0000269,162252,1,1,0,0,0,519693,2.62%,95710,5.43,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,7299,0,0,,2016,Barrels,0,-7299
Sierra Leone,13386542000,0.000023,1788,0.94,0.94,0,0,0.06,1272332,3.43%,7328834,0.17,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,6500,0,0,,2016,Barrels,0,-6500
Greenland,12683792000,0.0000218,224567,0.72,0.72,0,0,0.28,1530,0.86%,56412,0.03,0.00%,201722730,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,4000,0,0,,2016,Barrels,0,-4000
French Guiana,15686060000,0.0000269,57001,0.64,0.64,0,0,0.36,1473719,1.73%,267821,5.5,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,5000,0,0,,2016,Barrels,0,-5000
Rwanda,15834435000,0.0000272,1322,0.81,0.81,0,0,0.19,1403087,2.88%,11668827,0.12,0.00%,0,0,0,0,0,,2016,Tons ,,0,2000000,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,6700,0,0,,2016,Barrels,0,-6700
Liberia,16601000000,0.0000285,3530,1,1,0,0,0,846658,3.49%,4586787,0.18,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,8000,0,4412,,2016,Barrels,4412,-8000
Eswatini,20439383000,0.0000351,18171,0.68,0.52,0,0.16,0.32,657572,2.61%,1113997,0.59,0.00%,158732640,174165,159863,126688,119118,7570,2016,Tons ,,14302,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,775,5300,0,0,,2016,Barrels,0,-4525
Maldives,24704426000,0.0000424,49767,0.99,0.99,0,0,0.01,1233015,7.19%,475512,2.59,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,11000,0,0,,2016,Barrels,0,-11000
Aruba,17606311000,0.0000302,167097,0.94,0.94,0,0,0.06,286871,1.51%,104872,2.74,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,8000,55547,0,55547,2016,Barrels,,-8000
Guadeloupe,28095517000,0.0000482,70296,0.93,0.93,0,0,0.07,2478038,1.84%,399763,6.2,0.01%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,13000,0,0,,2016,Barrels,0,-13000
Malawi,31388331000,0.0000539,1776,0.43,0.36,0,0.07,0.57,1815598,3.26%,17205261,0.11,0.01%,2204620,47399,85915,36840,6400,30440,2016,Tons ,,-38516,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,517,6001,0,0,,2016,Barrels,0,-5484
Barbados,24763656000,0.0000425,86516,0.96,0.93,0.03,0,0.04,1541447,1.88%,285796,5.39,0.00%,0,0,0,0,0,,2016,Tons ,,0,5000,626,626,0,0,,2015,Million Cubic Ft,0,0,2315000,1000,11001,0,642,,2016,Barrels,642,-10001
Guyana,30165867000,0.0000518,38913,0.99,0.99,0,0,0.01,3253057,1.61%,771368,4.22,0.01%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,14000,0,0,,2016,Barrels,0,-14000
Niger,34310284000,0.0000589,1588,0.93,0.76,0,0.16,0.07,2088475,0.15%,20788798,0.1,0.01%,6613860,272271,261247,0,0,,2016,Tons ,0,11023,0,0,0,0,0,,2015,Million Cubic Ft,,0,150000000,13497,12000,0,0,,2016,Barrels,0,1497
